key,en,es,zh,tl,vi,ar,fr,ko,ru,pt,ht,hi,de,pl,it,ur,fa,te,ja,gu,bn,ta,pa,th,sh,hy,el,hmn,he,km,nv,ilo,sm,haw,pdc,yi,nl,so,am,sw
no_schools_zip,No driving schools found in this ZIP code.,No se encontraron escuelas de manejo en este código postal.,在此邮政编码中未找到驾校。,Walang natagpuang driving school sa ZIP code na ito.,Không tìm thấy trường lái xe trong mã ZIP này.,لم يتم العثور على مدارس قيادة في هذا الرمز البريدي.,Aucune auto-école trouvée pour ce code postal.,이 우편번호에서 운전 학교를 찾을 수 없습니다.,В этом почтовом индексе автошколы не найдены.,Nenhuma autoescola encontrada neste CEP.,Pa gen lekòl kondwi ki jwenn nan kòd postal sa a.,इस ZIP कोड में कोई ड्राइविंग स्कूल नहीं मिला.,Keine Fahrschule unter dieser Postleitzahl gefunden.,Nie znaleziono szkół jazdy dla tego kodu pocztowego.,Nessuna scuola guida trovata per questo CAP.,اس ZIP کوڈ میں کوئی ڈرائیونگ اسکول نہیں ملا۔,هیچ آموزشگاه رانندگی در این کد پستی پیدا نشد.,ఈ ZIP కోడ్‌లో డ్రైవింగ్ పాఠశాలలు కనబడలేదు.,この郵便番号では教習所が見つかりません。,આ ZIP કોડમાં કોઈ ડ્રાઈવિંગ સ્કૂલ મળી નથી.,এই ZIP কোডে কোনো ড্রাইভিং স্কুল পাওয়া যায়নি.,இந்த ZIP குறியீட்டில் ஓட்டுநர் பள்ளிகள் இல்லை.,ਇਸ ZIP ਕੋਡ ਵਿੱਚ ਕੋਈ ਡ੍ਰਾਈਵਿੰਗ ਸਕੂਲ ਨਹੀਂ ਲੱਭਿਆ.,ไม่พบโรงเรียนสอนขับรถในรหัสไปรษณีย์นี้,Ne postoji auto škola za ovaj poštanski broj.,Այս փոստային կոդով վարորդական դպրոցներ չեն գտնվել.,Δεν βρέθηκαν σχολές οδήγησης για αυτόν τον ταχυδρομικό κώδικα.,Tsis pom ib lub tsev kawm tsav tsheb hauv tus ZIP no.,לא נמצאה בית ספר לנהיגה במיקוד הזה.,សាលាបង្រៀនបើកបរ​មិនមាន​ទេ​ក្នុង​កូដ​ប្រៃសណីយ៍​នេះ។,Doo náádąʼiłʼą́ʼ łééchaaʼí bá hooghan tʼáá íiyisí.,Awan eskuela ti panag-taray ditoy ZIP.,Leai ni aoga ave taavale i lenei ZIP.,ʻAʻoʻoga kalaiwaʻole i kēia helu pōsta.,Kei Schul zum Fohre net gfunn,קיין דרייווינג שולע געפֿונען בײַ דעם ZIP,Geen rijscholen gevonden voor deze postcode.,Wax dugsi wadis ah laga helin koodkan.,በዚህ የፖስታ ኮድ ውስጥ የመንዳት ትምህርት ቤቶች አልተገኙም።,Hakuna shule za udereva zilizopatikana katika hii nambari ya posta.
no_schools,No schools to show.,No hay escuelas para mostrar.,没有可显示的学校。,Walang mga paaralang maipapakita.,Không có trường học để hiển thị.,لا توجد مدارس لعرضها.,Aucune école à afficher.,표시할 학교가 없습니다.,Нет школ для отображения.,Não há escolas para mostrar.,Pa gen lekòl pou montre.,दिखाने के लिए कोई स्कूल नहीं है.,Keine Schulen anzuzeigen.,Brak szkół do wyświetlenia.,Nessuna scuola da mostrare.,دکھانے کے لیے کوئی اسکول نہیں ہے.,هیچ مدرسه‌ای برای نمایش وجود ندارد.,చూపించడానికి పాఠశాలలు లేవు.,表示する学校はありません。,બતાવા માટે કોઈ શાળા નથી.,দেখানোর মতো কোনো স্কুল নেই.,காட்ட பள்ளிகள் இல்லை.,ਦਿਖਾਉਣ ਲਈ ਕੋਈ ਸਕੂਲ ਨਹੀਂ.,ไม่มีโรงเรียนที่จะแสดง,Нема школа за приказ,Ցուցադրելու դպրոցներ չկան.,Δεν υπάρχουν σχολεία προς εμφάνιση.,Tsis muaj tsev kawm ntawv qhia,אין בתי ספר להצגה,មិនមានសាលាដែលត្រូវបង្ហាញទេ,Łeeʼ dineʼé binaaʼ nidoodleeł doo,Awanna eskuela a maipakita,Leai ni aoga e faʻaalia,Nā ʻaʻoaʻo ʻAʻOLE e hōʻike ʻia,Kei Schula gibts net,קיין שולעס צו ווייזן,Geen scholen om te tonen.,Ma jiraan iskuullo la soo bandhigo,ትምህርት ቤት የለም ለማሳየት,Hakuna shule za kuonyesha
general_knowledge,General Knowledge,Conocimientos generales,常识,Karaniwang Kaalaman,Kiến thức chung,معرفة عامة,Connaissances générales,일반 상식,Общие знания,Conhecimentos gerais,Konesans jeneral,सामान्य ज्ञान,Allgemeinwissen,Wiedza ogólna,Conoscenze generali,عمومی معلومات,دانش عمومی,సాధారణ జ్ఞానం,一般知識,સામાન્ય જ્ઞાન,সাধারণ জ্ঞান,பொது அறிவு,ਆਮ ਗਿਆਨ,ความรู้ทั่วไป,Opšta znanja,Ընդհանուր գիտելիքներ,Γενικές γνώσεις,Paub dav,ידע כללי,ចំណេះដឹងទូទៅ,Łeeʼ naaltsoos bá hahoodleeł,Umiso a naem,Atamai lautele,ʻIke maʻamau,Allgemei Wissa,אַלגעמיינע וויסן,Algemene kennis,Aqoonta guud,አጠቃላይ እውቀት,Maarifa ya jumla
combination,Combination,Combinación,组合,Pagsasama,Kết hợp,تركيبة,Combinaison,결합,Комбинация,Combinação,Kombinasyon,संयोजन,Kombination,Kombinacja,Combinazione,امتزاج,ترکیب,కాంబినేషన్,組合,મિલાપ,সমন্বয়,இணைப்பு,ਜੋੜ,การผสม,Kombinacija,Կոմբինացիա,Συνδυασμός,Kev sib xyaw,שילוב,បញ្ចូលគ្នា,Áłtsé,Paagas ti panagsanga,Tuʻufaʻatasiga,Hui pū,Kommbinazjon,קאָמבינאַציע,Combinatie,Isku-darka,ስብስብ,Mchanganyiko
air_brakes,Air Brakes,Frenos de aire,气刹,Air Brakes,Phanh khí nén,فرامل هوائية,Freins à air,공기 브레이크,Пневматические тормоза,Freios a ar,Fren lè,एयर ब्रेक,Luftenbremsen,Hamulce pneumatyczne,Freni ad aria,ایر بریکس,ترمز بادی,ఎయిర్ బ్రేక్‌లు,エアブレーキ,એર બ્રેક્સ,এয়ার ব্রেক,காற்று பிரேக்,ਹਵਾ ਬ੍ਰੇਕ,เบรกอากาศ,Vazdušne kočnice,Օդային արգելակներ,Φρένα αέρος,Kev nres cua,בלמי אוויר,ហ្រ្វាំងខ្យល់,Air brakes,Prēno nga anga,Taofi ea,Eā pāhale,Luftenbrems,לופטן ברעמס,Luchtremmen,Bareegga hawada,አየር ብሬክ,Breki za hewa
hazards,Hazards,Peligros,危险,Mga Panganib,Nguy hiểm,مخاطر,Dangers,위험,Опасности,Perigos,Danje,खतरे,Gefahren,Zagrożenia,Pericoli,خطرات,خطرات,హానీలు,危険,ઝુકાવ,বিপদ,ஆபத்துகள்,ਖਤਰੇ,อันตราย,Opasnosti,Վտանգներ,Κίνδυνοι,Kev phom sij,סיכונים,គ្រោះថ្នាក់,Hazards,Panganib,Faigatā,Pilikia,Gefahrn,סכנות,Gevaar,Khataro,አደጋዎች,Hatari
passenger,Passenger,Pasajero,乘客,Pasahero,Hành khách,راكب,Passager,승객,Пассажир,Passageiro,Pasaje,यात्री,Passagier,Pasażer,Passeggero,مسافر,مسافر,ప్రయాణికుడు,乗客,પ્રવાસી,যাত্রী,பயணி,ਯਾਤਰੀ,ผู้โดยสาร,Putnik,Ուղևոր,Επιβάτης,Neeg caij npav,נוסע,អ្នកដំណើរ,Passenger,Pasahero,Pasese,Kaʻalele,Passaschier,נוסע,Passagier,Rakaab,ተሳፋሪ,Abiria
doubles_triples,Doubles/Triples,Dobles/Triples,双/三挂,Double/Triple,Đôi/Ba,Rجُرّات مزدوجة/ثلاثية,Doubles/Triples,복합 연결,Двойные/тройные прицепы,Duplos/Triplos,Doub/Trip,डबल/ट्रिपल,Doppel/Tripel,Podwójne/Potrójne,Doppi/Tripli,ڈبل/ٹرپل,دوبل/سه‌گانه,డబుల్స్/ట్రిపుల్స్,ダブル/トリプル,ડબલ્સ/ટ્રિપલ્સ,ডাবলস/ট্রিপলস,இரட்டை/மூன்றடுக்கு,ਡਬਲ/ਟ੍ਰਿਪਲ,คู่/สาม,Dupli/Trostruki,Կրկնակի/Եռակի,Διπλά/Τριπλά,Ob txhij/peb npaug,כפול/משולש,ទ្វេ/បី,Double/Triple,Doble/Triple,Fa'alua/Fa'atolu,ʻElua/ʻEkolu,Doppelt/Dreifach,כפל/דרײַפֿאַך,Dubbel/Drievoudig,Labo/Saddex,ድርብ/ሶስት,Maradufu/Matatu
tank,Tank,Tanque,油罐车,Tangke,Xe bồn,خزان,Cuve,탱크,Цистерна,Tanque,Tank,टैंक,Panzer,Zbiornik,Serbatoio,ٹینک,تانک,ట్యాంక్,タンク,ટાંકી,ট্যাঙ্ক,தொட்டி,ਟੈਂਕ,รถบรรทุกถัง,Tank,Տանկ,Δεξαμενή,Thawv,מיכל,ធុង,Tank,Tangki,Ipukukui,Tank,טאַנגק,Tank,Tankiga,ታንክ,Tangki
school_bus,School Bus,Autobús escolar,校车,School Bus,Xe buýt trường học,حافلة مدرسية,Bus scolaire,스쿨버스,Школьный автобус,Ônibus escolar,Otobis lekòl,स्कूल बस,Schulbus,Autobus szkolny,Scuolabus,اسکول بس,اتوبوس مدرسه,పాఠశాల బస్సు,スクールバス,શાળા બસ,স্কুল বাস,பள்ளி பேருந்து,ਸਕੂਲ ਬੱਸ,รถโรงเรียน,Školski autobus,Դպրոցական ավտոբուս,Σχολικό λεωφορείο,Tsheb kawm ntawv,אוטובוס בית ספר,ឡានបូរសាលា,School bus,Bus ti aoga,Ta'avale a'oga,Kahi kaʻa kula,Schuulbus,שול-בוס,Schoolbus,Baas iskuul,የትምህርት ቤት አውቶቡስ,Basi la shule
abs,ABS,ABS,防抱死,ABS,ABS,مانع انزلاق,ABS,ABS,ABS,ABS,ABS,एबीएस,ABS,ABS,ABS,اے بی ایس,ترمز ضدقفل,ఏబీఎస్,ABS,એબીએસ,এবিএস,ABS,ਏਬੀਐਸ,เอบีเอส,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
car_quiz,Car Quiz,Cuestionario de coche,汽车测验,Car Quiz,Đố ô tô,اختبار السيارة,Quiz voiture,자동차 퀴즈,Авто викторина,Quiz de carro,Quiz machin,कार क्विज़,Auto-Quiz,Quiz samochodowy,Quiz auto,کار کوئز,مسابقه ماشین,కారు క్విజ్,車のクイズ,કાર ક્વિઝ,গাড়ি কুইজ,கார் வினாடி வினா,ਕਾਰ ਕਵਿਜ਼,แบบทดสอบรถยนต์,Kviz o automobilu,Ավտոմեքենայի վիկտորինա,Κουίζ αυτοκινήτου,Kev nug txog tsheb,חידון רכב,ការល្បួងឡាន,Car quiz,Kuis kar,Su'ega ta'avale,Kuʻikahi kaʻa,Auto-Kwis,דאָס אויטאָ קוויז,Autokwis,Imtixaanka baabuurta,የመኪና መጠይቅ,Udhibiti gari
quiz_completed,Quiz Completed!,¡Cuestionario completado!,测验完成！,Tapos na ang Pagsusulit!,Hoàn thành bài kiểm tra!,اكتمل الاختبار!,Quiz terminé !,퀴즈 완료!,Викторина завершена!,Quiz concluído!,Quiz fini!,क्विज़ पूर्ण!,Quiz abgeschlossen!,Quiz zakończony!,Quiz completato!,کوئز مکمل!,آزمون تکمیل شد!,క్విజ్ పూర్తయింది!,クイズ完了！,ક્વિઝ પૂર્ણ!,কুইজ সম্পন্ন!,வினாடி வினா முடிந்தது!,ਕਵਿਜ਼ ਮੁਕੰਮਲ!,แบบทดสอบเสร็จสิ้น!,Kviz završen!,Վիկտորինան ավարտվեց!,Το κουίζ ολοκληρώθηκε!,Kev xeem tiav!,החידון הושלם!,ការល្បួងបានបញ្ចប់!,Kʼoodiʼ níʼńtsikʼeh!,Nakompleto ti kuis!,Ua maeʻa le kuisi!,Ua pau ka kuʻikahi!,Kwis feddich,קװיז פאַרענדיקט!,Quiz voltooid!,Kuwa dhammaystiran!,ክዊዝ ተጠናቀቀ!,Jaribio limekamilika!
score,Score,Puntuación,得分,Iskor,Điểm số,نتيجة,Score,점수,Очки,Pontuação,Nòt,स्कोर,Punktzahl,Wynik,Punteggio,اسکور,امتیاز,స్కోర్,スコア,સ્કોર,স্কোর,மதிப்பெண்,ਅੰਕ,คะแนน,Rezultat,Միավոր,Βαθμολογία,Qhab nia,ציון,ពិន្ទុ,Naʼídííłʼį́,Puntos,Togi,Koena,Score,סקאָר,Score,Boqor,ነጥብ,Alama
restart_quiz,Restart Quiz,Reiniciar cuestionario,重新开始测验,Magsimulang muli ang Quiz,Khởi động lại bài kiểm tra,إعادة تشغيل الاختبار,Redémarrer le quiz,퀴즈 다시 시작,Перезапустить викторину,Reiniciar quiz,Rekòmanse quiz,क्विज़ पुनः प्रारंभ करें,Quiz neu starten,Uruchom quiz ponownie,Riavvia quiz,کوئز دوبارہ شروع کریں,بازآغاز آزمون,క్విజ్ రీస్టార్ట్ చేయండి,クイズを再開,ક્વિઝ ફરી શરૂ કરો,কুইজ পুনরায় শুরু করুন,வினாடி வினாவை மறுதொடக்கம் செய்க,ਕਵਿਜ਼ ਮੁੜ ਸ਼ੁਰੂ ਕਰੋ,เริ่มแบบทดสอบใหม่,Restartuj kviz,Վիկտորինան վերամեկնարկեք,Επανεκκίνηση κουίζ,Pib dua qhov kev xeem,הפעל מחדש חידון,ចាប់ផ្តើមវិញការល្បួង,Mąʼii nááshtʼį́,Restart iti kuis,Toe amata le kuisi,Hoʻomaka hou ka kuʻikahi,Neustart Quiz,ריסטאַרט קװיז,Quiz herstarten,Bilaab kuis,ክዊዝ እንደገና ጀምር,Anzisha tena jaribio
next_question,Next Question,Siguiente pregunta,下一题,Susunod na Tanong,Câu hỏi tiếp theo,السؤال التالي,Question suivante,다음 질문,Следующий вопрос,Próxima pergunta,Pwochen kesyon,अगला प्रश्न,Nächste Frage,Następne pytanie,Prossima domanda,اگلا سوال,سؤال بعدی,తదుపరి ప్రశ్న,次の質問,આગલો પ્રશ્ન,পরবর্তী প্রশ্ন,அடுத்த கேள்வி,ਅਗਲਾ ਪ੍ਰਸ਼ਨ,คำถามถัดไป,Sledeće pitanje,Հաջորդ հարցը,Επόμενη ερώτηση,Lus nram qab lo lus nug,שאלה הבאה,សំណួរបន្ទាប់,Ííʼíníísh,Sumaruno a salud,Fesili aʻe,ʻĒ aʻe nīnau,Nächschti Frog,נעקסטע פֿראַגע,Volgende vraag,Suʼaasha xigta,ቀጣይ ጥያቄ,Swali linalofuata
finish_quiz,Finish Quiz,Finalizar cuestionario,完成测验,Tapusin ang Quiz,Hoàn thành bài kiểm tra,إنهاء الاختبار,Terminer le quiz,퀴즈 완료,Завершить викторину,Concluir quiz,Fini quiz,क्विज़ समाप्त करें,Quiz beenden,Zakończ quiz,Termina il quiz,کوئز ختم کریں,پایان آزمون,క్విజ్ ముగించండి,クイズを終了,ક્વિઝ પૂર્ણ કરો,কুইজ শেষ করুন,வினாடி வினாவை முடிக்கவும்,ਕਵਿਜ਼ ਖਤਮ ਕਰੋ,จบแบบทดสอบ,Završi kviz,Ավարտել վիկտորինան,Ολοκλήρωση κουίζ,Xaus qhov kev xeem,סיים חידון,បញ្ចប់ការល្បួង,Kʼaashtʼį́,Tapusin ti kuis,Faʻauma le kuisi,Pau ka kuʻikahi,Quiz feddich mache,סיים קװיז,Beëindig quiz,Dhammee kuis,ክዊዝ ጨርስ,Maliza jaribio
close_restart,Close / Restart,Cerrar / Reiniciar,关闭 / 重新启动,Isara / Magsimulang muli,Đóng / Khởi động lại,إغلاق / إعادة تشغيل,Fermer / Redémarrer,닫기 / 다시 시작,Закрыть / Перезапустить,Fechar / Reiniciar,Fèmen / Rekòmanse,बंद करें / पुनः प्रारंभ करें,Schließen / Neustarten,Zamknij / Uruchom ponownie,Chiudi / Riavvia,بند کریں / دوبارہ شروع کریں,بستن / راه‌اندازی مجدد,మూసివేయి / మళ్లీ ప్రారంభించు,閉じる / 再起動,બંધ કરો / ફરી શરૂ કરો,বন্ধ করুন / পুনরায় শুরু করুন,மூடு / மறுதொடக்கம்,ਬੰਦ ਕਰੋ / ਮੁੜ ਸ਼ੁਰੂ ਕਰੋ,ปิด / เริ่มใหม่,Zatvori / Restartuj,Փակել / Վերամեկնարկել,Κλείσιμο / Επανεκκίνηση,Kaw / Pib dua,סגור / הפעל מחדש,បិទ / ចាប់ផ្តើមវិញ,Níʼníʼá / Nááshtʼį́,Isara / Restart,Tapuni / Toe amata,Pani / Hoʻomaka hou,Zumache / Nei aafange,פארשלעס / ריסטאַרט,Sluiten / Herstart,Xir / Dib u bilow,ዝጋ / እንደገና ጀምር,Funga / Anza upya
q_red_light,What does a red traffic light mean?,¿Qué significa un semáforo en rojo?,红灯表示什么？,Ano ang ibig sabihin ng pulang ilaw sa trapiko?,Đèn giao thông đỏ nghĩa là gì?,ماذا يعني الضوء الأحمر في الإشارة؟,Que signifie un feu rouge ?,빨간 신호는 무엇을 의미합니까?,Что означает красный сигнал светофора?,O que significa o sinal vermelho?,Ki sa yon limyè wouj trafik vle di?,लाल ट्रैफिक लाइट का क्या अर्थ है?,Was bedeutet eine rote Ampel?,Co oznacza czerwone światło?,Cosa significa un semaforo rosso?,سرخ بتی کا کیا مطلب ہے؟,چراغ قرمز یعنی چه؟,ఎరుపు ట్రాఫిక్ లైట్ అంటే ఏమిటి?,赤信号は何を意味しますか？,લાલ ટ્રાફિક લાઇટ શું અર્થ કરે છે?,লাল ট্রাফিক লাইট কী বোঝায়?,சிகப்பு போக்குவரத்து விளக்கு என்ன அர்த்தம்?,ਲਾਲ ਟ੍ਰੈਫਿਕ ਲਾਈਟ ਦਾ ਕੀ ਮਤਲਬ ਹੈ?,สัญญาณไฟแดงหมายความว่าอะไร?,Šta znači crveno svetlo?,Կարմիր լուսացույցը ինչ է նշանակում?,Τι σημαίνει κόκκινο φανάρι;,Lub teeb liab txhais li cas?,מה פירוש רמזור אדום?,ភ្លើងចរាចរណ៍ពណ៌ក្រហមមានន័យដូចម្តេច?,Dííłchíʼí chʼíhoołʼį́ʼ shí níʼníł?,Ania ti lampara a nalabbaga?,O le ā le uiga o le moli mumu?,He aha ka manaʻo o ke kukui ʻulaʻula?,Was meent en roti Lemp?,וואָס מיינט אַ רויט ליכט?,Wat betekent rood licht?,Maxay ka dhigan tahay nalka cas?,ቀይ መብራት ምን ይመስላል?,Je! Taa nyekundu inamaanisha nini?
opt_stop,Stop,Alto,停止,Huminto,Dừng lại,قف,Arrêt,정지,Стоп,Parar,Sispann,रुको,Stopp,Stop,Zi,روکیں,ایست,ఆపు,停止,થોભો,থামুন,நிறுத்து,ਰੁੱਕੋ,หยุด,Stani,Կանգ,Στοπ,Tseg,עצור,បឋម,Tsʼidiiʼ,Para,Taofi,ʻStop,Halte,סטאָפּ,Stop,Joogso,አቁም,Simama
